org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
01-AI,,,,,,,,,,,,,,,,,,,,
Ai2,,,,,,,,,,,,,,,,,,,,
Ali,-1.0,-3.0,-4.0,11.0,-2.0,0.0,0.0,0.0,2683966.0,-941640.0,-43913.0,3415394.0,250520.0,0.0,2382663.0,0.0,1500.0,3912.0,154.0,0.0
Apple,,,,,,,,,,,,,,,,,,,,
BAAI,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-30544.0,0.0,553.0,20584.0,482.0,0.0,-2342885.0,0.0,61.0,293.0,13.0,0.0
Baichuan,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18714.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,1.0,65.0,-6.0,0.0
Baidu,-1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-149.0,0.0,0.0,-170.0,0.0,0.0,0.0,0.0,-3.0,-15.0,0.0,0.0
Deepseek,,,,,,,,,,,,,,,,,,,,
EleutherAI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-74362.0,0.0,0.0,0.0,0.0,6730.0,0.0,0.0,20.0,28.0,2.0,0.0
Falcon,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194846.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,-18.0,51.0,-6.0,0.0
Google,30.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,-533469.0,1938.0,2435893.0,6882673.0,0.0,0.0,1349.0,0.0,729.0,590.0,88.0,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HuggingFace,,,,,,,,,,,,,,,,,,,,
LMSYS,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,12.0,3.0,0.0
Meta,3.0,72.0,-7.0,8.0,0.0,0.0,3.0,0.0,8301186.0,899326.0,-6842740.0,-915032.0,41.0,13554722.0,-20774.0,0.0,981.0,1416.0,217.0,0.0
Microsoft,,,,,,,,,,,,,,,,,,,,
Nvidia,,,,,,,,,,,,,,,,,,,,
OpenAI,,,,,,,,,,,,,,,,,,,,
OpenBMB,,,,,,,,,,,,,,,,,,,,
Princeton NLP,,,,,,,,,,,,,,,,,,,,
ShanghaiAILab,8.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,16254.0,0.0,442962.0,-880666.0,0.0,-3007.0,0.0,0.0,59.0,266.0,38.0,0.0
UKP Lab,,,,,,,,,,,,,,,,,,,,
Zhipu,-5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,234576.0,-1020607.0,0.0,39403.0,0.0,0.0,0.0,0.0,6.0,115.0,2.0,0.0
